id,content
1,"File: 2024 Insurance Company X Slip - 11111.pdf Risk Details 875 ABR | Unique Market Reference (UMR) | Contract X (Renewing 11110) | | ----------------------------- | -------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- | | Reinsured | Insurance Company X | | Period | This Contract shall cover losses occurring during the 12 months period: from: 1 January 2024 to: 31 December 2024 both days inclusive, local standard time at the place where the loss occurs."
2,"| | Class of Business | This Contract shall cover all direct insurances, pooling arrangements and facultative reinsurances, in respect of the original insurances written by the Reinsured for business covering the Risks specified below, emanating from its Direct, Provincial, Underwriting Agencies, Co-insurance and Facultative Reinsurance portfolios which are in force at inception hereof, and/or accepted, and/or renewed during the period of this Contract by the Reinsured."
3,"Type of Risks written: Simple, Industrial, Commercial, Agricultural covering the following lines of business: Property Lines Fire and allied perils and extended coverages including consequential loss (including Maximum Possible Loss errors) and Environmental Risks Insurances Motor Physical Damage, including Caravans; Engineering Lines - Construction All Risks / Erection All Risks material damage and subsidiary liability, | Reinsured Page 1Broker ABC **--- PAGE BREAK ---** Contract X including Contractors' Plant and Equipment, Electronic Equipment Computer, Work and Landmaterial risks (hull cover only), Third Party Liability, Inherent Defect Insurance, Decennial Liability in Belgium, Delay in Start-Up (Advance Loss of Profit), Contractor's Professional Indemnity (in respect of Public-Private Partnerships; not on a stand-alone basis), Machinery Breakdown, Machinery Loss of Profits, Low Voltage, Guarantee."
4,"Territorial Scope The territorial scope of this Contract shall be in accordance with the original policies written in The Netherlands and Belgium Limits | | Limits | Deductibles | | --- | --- | --- | | Layer 1 | EUR 35,000,000 | in excess of EUR 85,000,000 | | Layer 2 | EUR 60,000,000 | in excess of EUR 120,000,000 | | Layer 3 | EUR 195,000,000 | in excess of EUR 180,000,000 | | Layer 4 | EUR 325,000,000 | in excess of EUR 375,000,000 | | Layer 5 | EUR 750,000,000 | in excess of EUR 700,000,000 | Ultimate Net Loss each and every Loss Occurrence."
5,"Reinstatement Provisions In the event of loss or losses occurring under this Contract, it is hereby mutually agreed to reinstate this Contract to its full amount from the time of such loss or losses until the expiry of this Contract, however, limited to the number of reinstatements and at an additional premium, calculated as follows: Layer 1: Two full reinstatements, at 100% additional premium as to time but pro rata as to amount reinstated."
6,"Premium Minimum and Deposit premium: | Layer 1 EUR | 5,756,200 | | ----------- | ---------- | | Layer 2 EUR | 7,229,250 | | Layer 3 EUR | 8,652,150 | | Layer 4 EUR | 8,701,450 | | Layer 5 EUR | 11,475,000 | Each amount payable in four equal instalments at 1 February 2024, 1 April 2024, 1 July 2024 and 1 October 2024."
7,"As soon as possible after the premium adjustment date, the deposit premium shall be adjusted to an amount equal to the rate of: | Layer 1 | 0.62396 % | | ------- | --------- | | Layer 2 | 0.78358 % | | Layer 3 | 0.93781 % | | Layer 4 | 0.94320 % | | Layer 5 | 1.24378 % | applied to the Reinsured's Premium Income Final settlement of premium to be effected within six months after the adjustment date."
8,"Page 3 Broker ABC **--- PAGE BREAK ---** Contract X Slip Leader | Notices | Terminology Clarification Notice - X1325 | | ------- | ------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- | | | For the purposes of this Contract, where established market referenced clauses are included herein, terminology is maintained as utilised in such issued clauses."
9,"| | | General Data Protection Regulation (EU) 2016/679 (Based on ~ Broker ABC2281) | | | The terms ""Personal Data"", ""Data Subject"", ""Controller"", ""Processing"" and ""Supervisory Authority"" used in this clause shall have the same meanings as those prescribed under Article 4 of the General Data Protection Regulation (EU) 2016/679 (hereinafter referred to as the GDPR)."
10,"The Reinsured also confirms that it has provided all necessary notices and obtained all necessary consents from ""Data Subjects"" in accordance with the GDPR, to enable ""Personal Data"" to be transferred and/or disclosed to the Reinsurer, and the Reinsured will continue to provide such notices and obtain all requisite consents from ""Data Subjects""."
11,"| | | Where necessary, in order for the Reinsured and Reinsurer to fulfil their respective obligations under the GDPR in relation to the ""Processing"" of the ""Personal Data"", particularly with regard to responding to requests or notices from ""Data Subjects"" that exercise their rights, and/or enquiries from ""Supervisory Authorities"", each party shall provide reasonable cooperation and assistance to the other party to enable the latter party to fulfil its respective obligations."
12,"| | | On a similar basis to the Reinsured, the Reinsurer acknowledges the obligations placed upon it, as a ""Controller"", to comply with the provisions of the GDPR, whether it is a Reinsurer established in the EU or otherwise, subject always to the GDPR being applicable to the Reinsurer concerned, whereby ""Personal Data"", as defined thereunder, received from the Reinsured as part of a reinsurance transaction under this Contract, shall be processed by the Reinsurer in accordance with the provisions of the GDPR."
13,"Where the Reinsurer is established outside of the European Economic Area and in the country which is not covered by adequacy decisions of the European Commission, the Reinsurer agree to put in place appropriate safeguards to protect the rights and freedoms of ""Data Subjects"", such as standard contractual clauses approved by the European Commission or such other transfer mechanism as approved by the European Commission."
14,"| | Mediation Dispute Resolution | Mediation Dispute Resolution - X2224 | | Mediation Dispute Resolution | Where any dispute or difference between the parties arising out of or in connection with this Contract including formation and validity and whether arising during or after the period of this Contract has not been settled through discussion or negotiation, both parties agree to try in good faith to settle such dispute through mediation, before resorting to arbitration in accordance with the Arbitration condition herein."
15,"| | Arbitration | Arbitration - X2182 All matters in difference between the parties arising under, out of or in connection with this Contract, including formation and validity and whether arising during or after the period of this Contract, which has not been resolved through mediation, shall be referred to an arbitration tribunal in the manner hereinafter set out."
16,"The arbitration tribunal shall, so far as is permissible under the law and practice of the seat of arbitration, have power to fix all procedural rules for the holding of the arbitration including discretionary power to make orders as to any matters which it may consider proper in the circumstances of the case with regard to pleadings, | Mediation Dispute Resolution Page 5Broker ABC **--- PAGE BREAK ---** Contract X | | discovery, inspection of the documents, examination of witnesses and any other matter whatsoever relating to the conduct of the arbitration and may receive and act upon such evidence whether oral or written strictly admissible or not as it shall in its discretion think fit."
17,"| | Reinsurer Contract Documentation | This document (Risk Details, Risk Details - Conditions, Risk Details - Appendices, Security Details, Intermediary Remuneration and Deductions, Signing Pages), whether a paper document, or a scanned copy in PDF or any alternative secure digital format, details the Contract terms and conditions entered into by the Reinsurers and constitutes the Contract Documentation, and shall also include endorsements subsequently agreed by Reinsurers."
18,"| Reinsurer Contract Documentation Page 6Broker ABC **--- PAGE BREAK ---** Contract X Risk Details - Conditions Index | Condition 1 | Definition of ""Loss Occurrence"" | X2625 | | ------------ | ----------------------------------------- | -------------- | | Condition 2 | Extended Expiration | X1012 | | Condition 3 | Ultimate Net Loss | Based on X2303 | | Condition 4 | Salvages | X1023 | | Condition 5 | Net Retained Lines | | | Condition 6 | Rates of Exchange | X2433 | | Condition 7 | Notification of Claims | Based on X1637 | | Condition 8 | Loss Settlements | Based on X2226 | | Condition 9 | Offset | X1548 | | Condition 10 | Inspection of Records | Based on X2557 | | Condition 11 | Confidentiality | Based on X2286 | | Condition 12 | Severability | X2177 | | Condition 13 | Errors and Omissions | X1014 | | Condition 14 | Termination and Insolvency | | | Condition 15 | Change in Law | | | Condition 16 | Mode of Execution Clause | X2417 | | Condition 17 | Amendments | X2418 | | Condition 18 | Sanctions Limitation and Exclusion"
19,"Clause | X1774 | | Condition 19 | Intermediary | X2484 | Page 7 X **--- PAGE BREAK ---** Contract X Condition 1 Definition of ""Loss Occurrence"" -X2625 The term ""Loss Occurrence"" shall mean all individual insured losses arising out of and directly occasioned by one event, provided always that the losses concerned shall have the same direct cause, occur during the same period of time and in the same area."
20,The Reinsured may choose the date and time when any such period of consecutive hours commences and if any event is of greater duration than the above periods the Reinsured may divide that event into two or more Loss Occurrences provided no two periods overlap and provided no period commences earlier than the date and time of the happening of the first recorded individual loss to the Reinsured in that event.
21,"In circumstances where consecutively occurring Loss Occurrences arise and it is impossible for the Reinsured to determine the particular Loss Occurrence which has caused any loss or losses which are covered hereunder, the Reinsured shall allocate such loss or losses to the Loss Occurrence, which most likely occasioned the loss or losses concerned."
22,"Condition 2 Extended Expiration - X1012 If this Contract should expire or be terminated while a Loss Occurrence covered by this Contract is in progress, it is understood and agreed that subject to the other terms and conditions of this Contract, the Reinsurers hereon are responsible as if the entire loss or damage had occurred prior to the expiration or termination of this Contract, provided that no part of that Loss Occurrence is claimed against any renewal or replacement of this Contract."
23,"Page 8 X **--- PAGE BREAK ---** Contract X Condition 3 Ultimate Net Loss (Based on - X2303) The term ""Ultimate Net Loss"" shall mean the sum actually paid or payable by the Reinsured in respect of any loss, including expenses of litigation, if any, and all other loss expenses of the Reinsured, (excluding, however, office expenses and salaries of employees of the Reinsured)."
24,"Nothing in this clause shall be construed to mean that a payment by Reinsurers under this Contract cannot be made until the Ultimate Net Loss of the Reinsured has been finally ascertained Condition 4 Salvages - X1023 All salvages, recoveries or payments recovered or received subsequent to any loss settlement hereunder shall be applied as if recovered or received prior to the aforesaid settlement and all necessary adjustments shall be made by the parties hereto."
25,"Condition 6 Rates of Exchange - X2433 For the purpose of this Contract, currencies other than Euro (EUR) shall be converted into such currency at the rates of exchange used in the Reinsured's books, or where there is a specific remittance for a loss settlement hereunder, at the rates of exchange applying when the Reinsurer makes the payment to the Reinsured."
26,"Condition 7 Notification of Claims (Based on - X1637) The Reinsured undertakes to advise the Reinsurers in writing as soon as a claim is likely to exceed 75% of the deductible, together with an estimate of the Reinsurers' liability and thereafter keep the Reinsurers fully informed of any developments regarding the claim."
27,"Page 9 X **--- PAGE BREAK ---** Contract X Condition 8 Loss Settlements (Based on - X2226) All loss settlements made by the Reinsured, provided same are within the terms and conditions of the original business covered hereunder and within the terms and conditions of this Contract, shall be unconditionally binding upon the Reinsurers and amounts falling to the share of the Reinsurers shall be payable by them within fourteen days upon reasonable evidence of the amount paid or payable being given by the Reinsured."
28,Condition 9 Offset - X1548 The Reinsured or the Reinsurers shall have and may exercise at any time the right to offset any balance or balances whether on account of premiums or on account of losses or otherwise due from one party to the other under the terms of this Contract.
29,"Condition 10 Inspection of Records (Based on - X2557) The Reinsurers or representatives duly authorised by them may at any time during normal office hours of the Reinsured inspect records and/or documents of the Reinsured which relate to the business covered under this Contract, other than records and/or documents which are designated as legally privileged."
30,"Where the Reinsurer is unable to inspect and take copies of the Reinsured's records and/or documents because they are designated as legally privileged, the Reinsured shall take all reasonable steps to provide the Reinsurer with the information it requires without compromising the legally privileged status of such records and/or documents."
31,"Page 10 X **--- PAGE BREAK ---** Contract X Should arbitration or judicial proceedings, including any pre-action protocols, be pending or initiated between the parties, the Reinsurers' right of inspection under this Contract shall not apply, and will be subject to the discovery process with respect to that arbitration or judicial proceeding."
32,"Condition 11 Confidentiality (Based on ~ X2286) All terms and conditions of this Contract and any materials provided in connection therewith, including renewal information and claims data (herein referred to as ""Confidential Information"") are confidential to the Reinsured and shall be kept strictly confidential by the Reinsurers hereon and not disclosed to third parties, other than as provided below."
33,"The Reinsurers are permitted to disclose the Confidential Information to the following: Their directors and employees and the directors and employees of their group affiliates, who are responsible for this Contract or are required to review or process the Confidential Information in respect of this Contract; Their out-sourcing organisations and third party service providers, including any market administration bureaux, who undertake administrative roles in respect of the Reinsurers' performance and obligations under this Contract; subject to a written confidentiality agreement being in place between the Reinsurer and such organisation or service provider which is no less stringent than the provisions of this clause; Their external professional advisors, legal counsel, representatives, actuaries, accountants or auditors; Their retrocessionaires for the purposes of its own reinsurance/retrocession protections; Their internal legal counsel; Governmental authorities, regulators performing an audit of the Reinsurers' records and/or financial condition; An arbitrator, mediator or umpire in any dispute resolution proceeding between the Reinsured and the Reinsurer pursuant to the terms of this Contract; Any other third party if agreed by the Reinsured in writing prior to the disclosure."
34,"In circumstances where Confidential Information is stored on a group wide information technology facility and is used for administration, risk management, claims handling, business analysis and accounting purposes and is therefore accessible to other members of that group, the Reinsurers shall take every precaution to ensure that the integrity and appropriate level of confidentiality is maintained."
35,"Confidential Information shall not include information which: the Reinsurers are already lawfully in possession of prior to disclosure by the Reinsured; was in the public domain at the time of the communication of such Confidential Information to the Reinsurers by the Reinsured or its designated agents; entered the public domain, through no fault of the Reinsurers, subsequent to the time of the Reinsurers' receipt of the Confidential Information from the Reinsured or its designated agents, without violating any of the Reinsurers' obligations under this Contract; or is lawfully made available to the Reinsurers by a third party who is free to make such disclosure without breach of any legal obligation; the Reinsurers develop independently; The duty of confidentiality does not apply where disclosure has to be made as a result of subpoena or other duly-issued order of a court or other governmental agency or regulatory authority."
36,"In the event that the Reinsurers are required by a court order, other legal process or any regulatory authority to release or disclose any or all of the Confidential Information, the Reinsurers agree to provide the Page 11 X **--- PAGE BREAK ---** Contract X Reinsured with written notice of same as soon as practicable, where allowed by applicable law and to use reasonable efforts to assist the Reinsured in maintaining the confidentiality provided for in this clause, as far as legally possible."
37,"Condition 12 Severability - X2177 If any provision of this Contract shall be rendered to be invalid, illegal, unenforceable or in conflict with the law of any applicable jurisdiction, the validity, legality and enforceability of the remaining provisions of this Contract shall not in any way be affected or impaired thereby."
38,"If the country or territory in which the Reinsurer(s) reside or have their head office or are incorporated shall be involved in war with the country or territory in which the Reinsured reside or have their head office or are incorporated, whether declared or not, or civil war, or is wholly or partly occupied by a foreign power."
39,"In the event of this Contract being cancelled at any date other than stated under Period, then the Premium due to the Reinsurers shall be calculated upon either: a) the Premium Income of the Reinsured up to the date of termination grossed up to the full year at pro rata temporis, or the minimum premium, whichever is the greater, or Page 12 X **--- PAGE BREAK ---** Contract X b) the flat premium, if applicable."
40,"Return premium is then calculated using the following allocation of the premium over the four quarters based upon an estimation of the relative seasonal exposure: | January to March: | 40% | | -------------------- | --- | | April to June: | 10% | | July to September: | 10% | | October to December: | 40% | When cancellation is mid-quarter, the premium calculation for that particular quarter will be based upon pro rata temporis of the applicable percentage for the quarter, shown above."
41,"Notwithstanding the above provisions, in the event that the Reinsurer is subject to a 'Default or Insolvency', a 'Credit Event' or a 'Withdrawal', as described under items 1-3 below, the Reinsured shall be informed thereof by the Reinsurer without delay, but at the latest five (5) days of such circumstance occurring."
42,"The Reinsured only shall then have the right to seek modification of the Contract terms and conditions or to terminate this Contract in accordance with the provisions of this clause in respect of all business in-force at the date of termination, (active policies and outstanding claims) with immediate effect unless indicated otherwise within this clause."
43,"The Reinsurer (1) does not meet its obligations under the Contract (other than an obligation to make any payment under the Contract) despite a written reminder and such failure is not remedied on or before the thirtieth (30) calendar day after notice of such failure is given to the Reinsurer; or (2) the Reinsurer disaffirms, disclaims, repudiates or rejects, in whole or in part, its obligations under the Contract (or such action is taken by any person or entity appointed or empowered to operate it or act on its behalf); C."
